date,open,high,low,close,preclose,volume
2021/1/21,6740.399902,6776.899902,6715.399902,6715.399902,6715.399902,621554400
2021/1/22,6715.399902,6715.700195,6651.700195,6695.100098,6695.100098,693954900
2021/1/25,6695.100098,6714.600098,6610.299805,6638.899902,6638.899902,761260500
2021/1/26,6638.899902,6702.399902,6636.299805,6654,6654,683485900
2021/1/27,6654,6661.299805,6505.799805,6567.399902,6567.399902,982451100
2021/1/28,6567.399902,6567.399902,6439.600098,6526.200195,6526.200195,869048100
2021/1/29,6526.200195,6526.200195,6397.200195,6407.5,6407.5,870670500
2021/2/1,6407.5,6495.600098,6407.5,6466.399902,6466.399902,746038100
2021/2/2,6466.399902,6523.5,6466.399902,6516.700195,6516.700195,719054200
2021/2/3,6516.700195,6573.100098,6489.5,6507.799805,6507.799805,717525200
2021/2/4,6507.799805,6553.399902,6478.200195,6503.700195,6503.700195,989919900
2021/2/5,6503.700195,6518.700195,6457.600098,6489.299805,6489.299805,984403300
2021/2/8,6489.299805,6567.700195,6489.299805,6523.5,6523.5,818871300
2021/2/9,6523.5,6541,6501,6531.600098,6531.600098,544655300
2021/2/10,6531.600098,6577,6481,6524.399902,6524.399902,782043000
2021/2/11,6524.399902,6554.200195,6514.899902,6528.700195,6528.700195,673184700
2021/2/12,6528.700195,6589.799805,6485.100098,6589.799805,6589.799805,495851300
2021/2/15,6589.799805,6775.399902,6589.799805,6756.100098,6756.100098,825488200
2021/2/16,6756.100098,6799.899902,6736.899902,6748.899902,6748.899902,817289800
2021/2/17,6748.899902,6760.299805,6701.600098,6710.899902,6710.899902,755390100
2021/2/18,6710.899902,6721.799805,6591.399902,6617.200195,6617.200195,847018200
2021/2/19,6617.200195,6646.200195,6600.600098,6624,6624,976444700
2021/2/22,6624,6624.700195,6545.899902,6612.200195,6612.200195,846468100
2021/2/23,6612.200195,6675.399902,6555.899902,6625.899902,6625.899902,1154639900
2021/2/24,6625.899902,6669.899902,6572.299805,6659,6659,1141083000
2021/2/25,6659,6702.899902,6644.700195,6652,6652,852469800
2021/2/26,6652,6652,6465.600098,6483.399902,6483.399902,1279039900
2021/3/1,6483.399902,6612.700195,6483.399902,6588.5,6588.5,708419900
2021/3/2,6588.5,6660.799805,6560.899902,6613.799805,6613.799805,682614300
2021/3/3,6613.799805,6705.299805,6613.799805,6675.5,6675.5,937329300
2021/3/4,6675.5,6675.5,6581.200195,6650.899902,6650.899902,938807000
2021/3/5,6650.899902,6710.799805,6560.799805,6630.5,6630.5,1027477500
2021/3/8,6630.5,6726.399902,6612.700195,6719.100098,6719.100098,972755300
2021/3/9,6719.100098,6786.799805,6689.899902,6730.299805,6730.299805,952946800
2021/3/10,6730.299805,6740.799805,6677,6725.600098,6725.600098,725796800
2021/3/11,6725.600098,6755.299805,6699.299805,6737,6737,714706900
2021/3/12,6737,6766.399902,6709,6761.5,6761.5,706134500
2021/3/15,6761.5,6804.899902,6723.700195,6749.700195,6749.700195,670767900
2021/3/16,6749.700195,6812.799805,6749.600098,6803.600098,6803.600098,8494800
2021/3/17,6803.600098,6805.700195,6753.799805,6762.700195,6762.700195,8378200
2021/3/18,6762.700195,6791.799805,6740.5,6779.700195,6779.700195,825204500
2021/3/19,6779.700195,6779.700195,6664.600098,6708.700195,6708.700195,1819149000
2021/3/22,6708.700195,6732.700195,6651,6726.100098,6726.100098,811558900
2021/3/23,6726.100098,6726.100098,6664.799805,6699.200195,6699.200195,861618700
2021/3/24,6699.200195,6722.600098,6649.399902,6712.899902,6712.899902,942724200
2021/3/25,6712.899902,6729.899902,6618.600098,6674.799805,6674.799805,768539700
2021/3/26,6674.799805,6742.100098,6674.799805,6740.600098,6740.600098,748208300
2021/3/29,6740.600098,6758.799805,6705.399902,6736.200195,6736.200195,624496600
2021/3/30,6736.200195,6792.200195,6729.5,6772.100098,6772.100098,664395600
2021/3/31,6772.100098,6775.700195,6713.600098,6713.600098,6713.600098,854819600
